siteid,cluster_id,load_zone,land_class,slope_class,nsrdb_id,nsrdb_lat,nsrdb_lon,solar_lat,solar_lon,solar_area
1,1,Oahu,B,00_to_15,89,21.45,-158.18,21.4604972982943,-158.167845626917,102187.158294096
2,1,Oahu,B,00_to_15,90,21.45,-158.14,21.4669173728814,-158.159625313895,23408.6460434
3,1,Oahu,C,00_to_15,89,21.45,-158.18,21.4560311628832,-158.180909612012,320128.258190168
4,1,Oahu,other,00_to_15,88,21.45,-158.22,21.4650234814549,-158.203884555918,546602.734416874
5,1,Oahu,other,00_to_15,89,21.45,-158.18,21.4587734564468,-158.177014195935,3408669.89684335
6,1,Oahu,other,00_to_15,90,21.45,-158.14,21.4653947311831,-158.155546129054,381067.303142847
7,1,Oahu,other,00_to_15,105,21.49,-158.22,21.4932286259812,-158.221217500988,1337142.46872075
8,1,Oahu,other,00_to_15,106,21.49,-158.18,21.4763227063315,-158.172434927253,303670.69244301
9,1,Oahu,other,00_to_15,107,21.49,-158.14,21.4735073894464,-158.155718642981,567986.395188736
10,1,Oahu,other,00_to_15,122,21.53,-158.22,21.5122343068608,-158.225228963221,296566.437744864
11,2,Oahu,B,00_to_15,72,21.41,-158.18,21.4183780774314,-158.167793683379,50833.7897144434
12,2,Oahu,B,00_to_15,73,21.41,-158.14,21.410071787951,-158.147511566062,157511.20421565
13,2,Oahu,B,00_to_15,89,21.45,-158.18,21.4415708860058,-158.161790516211,131385.412180918
14,2,Oahu,B,00_to_15,90,21.45,-158.14,21.4467642305169,-158.152579769727,998324.524584555
15,2,Oahu,other,00_to_15,56,21.37,-158.14,21.3890776008777,-158.147412053855,81339.917381327
16,2,Oahu,other,00_to_15,72,21.41,-158.18,21.4165840329006,-158.166509809242,1730044.98926115
17,2,Oahu,other,00_to_15,73,21.41,-158.14,21.4047244838538,-158.148014227165,2515924.64498756
18,2,Oahu,other,00_to_15,89,21.45,-158.18,21.4401927752188,-158.166251591488,611837.594007654
19,2,Oahu,other,00_to_15,90,21.45,-158.14,21.4496310151448,-158.154195676355,634643.942036534
20,3,Oahu,other,00_to_15,39,21.33,-158.14,21.3465802766126,-158.125422834963,132994.397001005
21,3,Oahu,other,00_to_15,40,21.33,-158.1,21.3393643425305,-158.112028896374,73364.4979406658
22,3,Oahu,other,00_to_15,56,21.37,-158.14,21.3784069769176,-158.133012966969,366345.809128216
23,3,Oahu,other,00_to_15,57,21.37,-158.1,21.3707999775632,-158.11040709175,349405.499642996
24,3,Oahu,other,00_to_15,73,21.41,-158.14,21.3963137730261,-158.123671646831,374460.189739021
25,3,Oahu,other,00_to_15,74,21.41,-158.1,21.4004189291099,-158.117683886403,108767.560917998
26,4,Oahu,B,00_to_15,40,21.33,-158.1,21.3271484910837,-158.097138203048,2662.87554004837
27,4,Oahu,B,00_to_15,41,21.33,-158.06,21.3419455439451,-158.048499663019,721397.446861976
28,4,Oahu,B,00_to_15,42,21.33,-158.02,21.3486766029583,-158.033155491166,101610.307789718
29,4,Oahu,B,00_to_15,58,21.37,-158.06,21.3588386458586,-158.050185693551,921006.387732792
30,4,Oahu,B,00_to_15,59,21.37,-158.02,21.3600573350922,-158.030279226173,234564.370476297
31,4,Oahu,C,00_to_15,40,21.33,-158.1,21.3293482339784,-158.095302606729,16588.2772463134
32,4,Oahu,C,00_to_15,42,21.33,-158.02,21.3475231481481,-158.021018518559,394.094726000001
33,4,Oahu,C,00_to_15,58,21.37,-158.06,21.3607550390526,-158.062023872547,72511.5475714722
34,4,Oahu,C,00_to_15,59,21.37,-158.02,21.3537792033091,-158.027173749275,27532.1284632583
35,4,Oahu,other,00_to_15,40,21.33,-158.1,21.3390881046863,-158.084092309178,193053.214811136
36,4,Oahu,other,00_to_15,41,21.33,-158.06,21.3370532050282,-158.069005354734,210648.602124828
37,4,Oahu,other,00_to_15,42,21.33,-158.02,21.338560842778,-158.03657014621,103300.717220437
38,4,Oahu,other,00_to_15,58,21.37,-158.06,21.3613233722986,-158.067343438102,585358.373084103
39,4,Oahu,other,00_to_15,59,21.37,-158.02,21.3653420217989,-158.029318291771,248983.055418612
40,5,Oahu,C,00_to_15,42,21.33,-158.02,21.3300315895312,-158.001976934433,60758.5623774188
41,5,Oahu,other,00_to_15,42,21.33,-158.02,21.3288794318351,-158.003052156004,73763.6234407873
42,5,Oahu,other,00_to_15,43,21.33,-157.98,21.3242844586364,-157.992180512257,904601.21449895
43,6,Oahu,C,00_to_15,61,21.37,-157.94,21.3834682610418,-157.943218954299,37001.5772263755
44,6,Oahu,other,00_to_15,61,21.37,-157.94,21.3838633610246,-157.941202405728,10533.5737010075
45,6,Oahu,other,00_to_15,62,21.37,-157.9,21.375739556417,-157.906361864829,84667.5962821482
46,6,Oahu,other,00_to_15,78,21.41,-157.94,21.3989766922095,-157.930879629683,5709.88115903728
47,7,Oahu,B,00_to_15,60,21.37,-157.98,21.3751627138835,-157.993879413083,16824.7133765666
48,7,Oahu,B,00_to_15,76,21.41,-158.02,21.4204344431505,-158.01748116596,73995.7792859655
49,7,Oahu,B,00_to_15,77,21.41,-157.98,21.4159343907696,-157.987754805831,139455.884526087
50,7,Oahu,B,00_to_15,93,21.45,-158.02,21.4669352178803,-158.017235414131,485993.942161379
51,7,Oahu,B,00_to_15,94,21.45,-157.98,21.454957796505,-157.982187952299,1645040.34521007
52,7,Oahu,B,00_to_15,110,21.49,-158.02,21.4733163445467,-158.019877665054,573997.398332356
53,7,Oahu,B,00_to_15,111,21.49,-157.98,21.4784372966706,-157.975711721853,224097.220226805
54,7,Oahu,C,00_to_15,60,21.37,-157.98,21.3892433114267,-157.983350808416,49961.2854758631
55,7,Oahu,C,00_to_15,77,21.41,-157.98,21.3905277980804,-157.978911806035,36805.9984145872
56,7,Oahu,C,00_to_15,93,21.45,-158.02,21.4671492165242,-158.021378205169,4999.55489389474
57,7,Oahu,C,00_to_15,94,21.45,-157.98,21.4611761794139,-157.967705365885,230232.564109025
58,7,Oahu,C,00_to_15,95,21.45,-157.94,21.4431342611841,-157.953461597525,194977.336248357
59,7,Oahu,C,00_to_15,110,21.49,-158.02,21.47245781893,-158.018451646131,4381.82942184
60,7,Oahu,C,00_to_15,111,21.49,-157.98,21.4730842032588,-157.980394235534,49690.7086127775
61,7,Oahu,other,00_to_15,60,21.37,-157.98,21.3811393465612,-157.987639381055,370269.895760516
62,7,Oahu,other,00_to_15,76,21.41,-158.02,21.4180336575127,-158.012884823657,2203519.24475794
63,7,Oahu,other,00_to_15,77,21.41,-157.98,21.4116500283303,-157.977399923031,1531110.37784427
64,7,Oahu,other,00_to_15,93,21.45,-158.02,21.4457080001838,-158.013607320141,79309.3169030095
65,7,Oahu,other,00_to_15,94,21.45,-157.98,21.4450770729815,-157.97911902917,537800.203288319
66,7,Oahu,other,00_to_15,95,21.45,-157.94,21.4424475425333,-157.952591384913,260249.262035492
67,7,Oahu,other,00_to_15,110,21.49,-158.02,21.4839421403944,-158.006182445226,412758.389086139
68,7,Oahu,other,00_to_15,111,21.49,-157.98,21.4801629328433,-157.98346510775,175441.602683198
69,8,Oahu,B,00_to_15,58,21.37,-158.06,21.3799522303053,-158.056947330496,399776.224614814
70,8,Oahu,B,00_to_15,59,21.37,-158.02,21.3874584656085,-158.038069576758,17182.8819518868
71,8,Oahu,B,00_to_15,74,21.41,-158.1,21.4131944444444,-158.080159465053,884.986819018869
72,8,Oahu,B,00_to_15,75,21.41,-158.06,21.4135740883745,-158.058813274539,2184812.42902577
73,8,Oahu,B,00_to_15,76,21.41,-158.02,21.4243345771144,-158.032464068585,39497.9858227314
74,8,Oahu,B,00_to_15,92,21.45,-158.06,21.4563807992186,-158.056328754743,4673815.55033052
75,8,Oahu,B,00_to_15,93,21.45,-158.02,21.4576489225246,-158.036309195994,674884.802355408
76,8,Oahu,B,00_to_15,108,21.49,-158.1,21.4831887529365,-158.081739741444,94615.6150396834
77,8,Oahu,B,00_to_15,109,21.49,-158.06,21.4764078155277,-158.063678954922,2564416.85600606
78,8,Oahu,C,00_to_15,58,21.37,-158.06,21.3816213196733,-158.072259909715,114501.719693392
79,8,Oahu,C,00_to_15,75,21.41,-158.06,21.4209863735332,-158.066155225304,575317.528665282
80,8,Oahu,C,00_to_15,76,21.41,-158.02,21.4292083542819,-158.037879797256,21426.7262439645
81,8,Oahu,C,00_to_15,92,21.45,-158.06,21.4497832315999,-158.063214234542,1732815.94352991
82,8,Oahu,C,00_to_15,93,21.45,-158.02,21.4519396744494,-158.035684096213,107020.982995843
83,8,Oahu,C,00_to_15,108,21.49,-158.1,21.4772683204408,-158.085852003254,275426.213343993
84,8,Oahu,C,00_to_15,109,21.49,-158.06,21.47468093836,-158.067355015412,228770.61752766
85,8,Oahu,other,00_to_15,57,21.37,-158.1,21.3767920830884,-158.082269253412,37205.295007069
86,8,Oahu,other,00_to_15,58,21.37,-158.06,21.3816911930673,-158.060517341428,333128.565619049
87,8,Oahu,other,00_to_15,59,21.37,-158.02,21.3867339506173,-158.037445061767,7687.125489
88,8,Oahu,other,00_to_15,74,21.41,-158.1,21.3947676021264,-158.082007071431,15122.8930704021
89,8,Oahu,other,00_to_15,75,21.41,-158.06,21.4074471086913,-158.064196514359,864803.764100161
90,8,Oahu,other,00_to_15,76,21.41,-158.02,21.418405649073,-158.030899771529,625296.759228094
91,8,Oahu,other,00_to_15,91,21.45,-158.1,21.469122053872,-158.08706355222,21647.6363506241
92,8,Oahu,other,00_to_15,92,21.45,-158.06,21.446365274692,-158.061829448269,1928695.56355991
93,8,Oahu,other,00_to_15,93,21.45,-158.02,21.4430546690803,-158.037152479339,82455.1354437772
94,8,Oahu,other,00_to_15,108,21.49,-158.1,21.4783921785957,-158.084113056821,359076.022203118
95,8,Oahu,other,00_to_15,109,21.49,-158.06,21.4812799494084,-158.07104199057,534229.599966201
96,9,Oahu,B,00_to_15,140,21.57,-158.18,21.5707993132388,-158.177267397999,1118191.8905685
97,9,Oahu,B,00_to_15,141,21.57,-158.14,21.5704376447437,-158.147035077175,2553195.36008445
98,9,Oahu,B,00_to_15,142,21.57,-158.1,21.5567564021159,-158.115932962991,172016.315789401
99,9,Oahu,C,00_to_15,140,21.57,-158.18,21.5699626357875,-158.181299749257,287518.420306717
100,9,Oahu,C,00_to_15,141,21.57,-158.14,21.5541035045614,-158.137005105012,145166.815111039
101,9,Oahu,other,00_to_15,124,21.53,-158.14,21.5476795707237,-158.135769779496,197866.072804387
102,9,Oahu,other,00_to_15,125,21.53,-158.1,21.5381485825458,-158.098067600258,345843.302576691
103,9,Oahu,other,00_to_15,139,21.57,-158.22,21.5772183989874,-158.204667851006,828598.993383737
104,9,Oahu,other,00_to_15,140,21.57,-158.18,21.5712434941203,-158.182219883005,3156478.14671755
105,9,Oahu,other,00_to_15,141,21.57,-158.14,21.5614427606952,-158.137935065454,832471.192179728
106,9,Oahu,other,00_to_15,142,21.57,-158.1,21.5516647908038,-158.114975163603,60586.5686811855
107,10,Oahu,A,00_to_15,126,21.53,-158.06,21.5452314814815,-158.079861111144,100.517448642857
108,10,Oahu,B,00_to_15,109,21.49,-158.06,21.5048327617118,-158.047741848007,1796517.92912895
109,10,Oahu,B,00_to_15,110,21.49,-158.02,21.5052915589246,-158.03431167368,1081017.82097326
110,10,Oahu,B,00_to_15,125,21.53,-158.1,21.5380106743902,-158.086577853799,1034934.48121837
111,10,Oahu,B,00_to_15,126,21.53,-158.06,21.5301156928687,-158.059496344443,13303673.6755449
112,10,Oahu,B,00_to_15,127,21.53,-158.02,21.5278335877595,-158.025665921179,6293199.91043869
113,10,Oahu,B,00_to_15,128,21.53,-157.98,21.5297573395627,-157.996844412108,117435.725261503
114,10,Oahu,B,00_to_15,142,21.57,-158.1,21.570877584397,-158.099227400609,1045553.72864744
115,10,Oahu,B,00_to_15,143,21.57,-158.06,21.5610248945367,-158.05588792224,2579902.14778198
116,10,Oahu,B,00_to_15,144,21.57,-158.02,21.5615030779385,-158.033617098915,795644.933771487
117,10,Oahu,B,00_to_15,159,21.61,-158.1,21.5906023292472,-158.096068087678,26177.7823860545
118,10,Oahu,C,00_to_15,109,21.49,-158.06,21.5045402548267,-158.053948275507,55174.3449046686
119,10,Oahu,C,00_to_15,110,21.49,-158.02,21.5056188908654,-158.022501030273,53446.9815060574
120,10,Oahu,C,00_to_15,125,21.53,-158.1,21.5367521189895,-158.081580930533,27621.2222671651
121,10,Oahu,C,00_to_15,126,21.53,-158.06,21.5370415712726,-158.068882734642,133798.215613716
122,10,Oahu,C,00_to_15,127,21.53,-158.02,21.5421286361698,-158.012763668463,777573.196486962
123,10,Oahu,C,00_to_15,128,21.53,-157.98,21.5349311463705,-157.993539876599,691555.314599073
124,10,Oahu,C,00_to_15,143,21.57,-158.06,21.5615918389366,-158.051569099225,462199.995202536
125,10,Oahu,C,00_to_15,144,21.57,-158.02,21.5622977917043,-158.018823807633,2338883.22792631
126,10,Oahu,C,00_to_15,145,21.57,-157.98,21.5563528311966,-157.999558404602,20272.6278569163
127,10,Oahu,other,00_to_15,109,21.49,-158.06,21.5021062075389,-158.05270518303,66469.4045900122
128,10,Oahu,other,00_to_15,110,21.49,-158.02,21.5059385438914,-158.022467348488,199546.58851692
129,10,Oahu,other,00_to_15,125,21.53,-158.1,21.5431695035646,-158.09195401484,83414.6954887204
130,10,Oahu,other,00_to_15,126,21.53,-158.06,21.5379587387531,-158.06060500958,365146.872020077
131,10,Oahu,other,00_to_15,127,21.53,-158.02,21.5287283010324,-158.021739208853,598569.387260256
132,10,Oahu,other,00_to_15,128,21.53,-157.98,21.5302042856485,-157.98955700182,158078.188454062
133,10,Oahu,other,00_to_15,141,21.57,-158.14,21.577134502924,-158.120087719325,3609.60699009756
134,10,Oahu,other,00_to_15,142,21.57,-158.1,21.5737112863616,-158.10617786359,1010359.17151548
135,10,Oahu,other,00_to_15,143,21.57,-158.06,21.5656940323613,-158.058106843984,557415.65397741
136,10,Oahu,other,00_to_15,144,21.57,-158.02,21.5605738704504,-158.025440558541,505729.165812204
137,10,Oahu,other,00_to_15,145,21.57,-157.98,21.5578251507321,-157.999074791889,25370.1140107149
138,10,Oahu,other,00_to_15,159,21.61,-158.1,21.5909710022933,-158.092771983147,74743.2259101059
139,11,Oahu,B,00_to_15,143,21.57,-158.06,21.589446988197,-158.054284696821,17857.442124766
140,11,Oahu,B,00_to_15,159,21.61,-158.1,21.6013526818586,-158.085691417403,89591.3085110792
141,11,Oahu,B,00_to_15,160,21.61,-158.06,21.6107966117253,-158.056821294669,3943180.08714143
142,11,Oahu,B,00_to_15,161,21.61,-158.02,21.6180144777328,-158.039894437709,1654.854134375
143,11,Oahu,B,00_to_15,177,21.65,-158.06,21.6323041307935,-158.057480036707,141807.684212355
144,11,Oahu,C,00_to_15,143,21.57,-158.06,21.5886376776794,-158.042331391504,47254.6369793612
145,11,Oahu,C,00_to_15,144,21.57,-158.02,21.5888066946258,-158.037761080084,105893.397134865
146,11,Oahu,C,00_to_15,159,21.61,-158.1,21.612000261561,-158.090792163663,87302.573847058
147,11,Oahu,C,00_to_15,160,21.61,-158.06,21.6091312436756,-158.049038612402,665684.470399711
148,11,Oahu,C,00_to_15,161,21.61,-158.02,21.6028557400024,-158.033949284754,914222.40500355
149,11,Oahu,C,00_to_15,177,21.65,-158.06,21.6350268031189,-158.056903021478,1786.35644122581
150,11,Oahu,other,00_to_15,143,21.57,-158.06,21.5892789344778,-158.044459409571,27353.0679675167
151,11,Oahu,other,00_to_15,144,21.57,-158.02,21.5890998135231,-158.038587484383,8019.56942264204
152,11,Oahu,other,00_to_15,159,21.61,-158.1,21.6057027486519,-158.093610697963,2015008.68731231
153,11,Oahu,other,00_to_15,160,21.61,-158.06,21.6115178208594,-158.060268931553,852890.058154775
154,11,Oahu,other,00_to_15,161,21.61,-158.02,21.603303686534,-158.027332167989,691180.419206002
155,11,Oahu,other,00_to_15,177,21.65,-158.06,21.6323782386647,-158.066064295833,87555.8884018455
156,12,Oahu,B,00_to_15,177,21.65,-158.06,21.6498884721122,-158.050506981886,557628.852735624
157,12,Oahu,B,00_to_15,178,21.65,-158.02,21.6574530504641,-158.035979236255,193127.749056237
158,12,Oahu,B,00_to_15,195,21.69,-158.02,21.6911736810306,-158.011443261296,435607.621670945
159,12,Oahu,B,00_to_15,196,21.69,-157.98,21.6850219814308,-157.996712313541,445682.289772484
160,12,Oahu,C,00_to_15,177,21.65,-158.06,21.6512639301061,-158.048359736146,276610.030933059
161,12,Oahu,C,00_to_15,178,21.65,-158.02,21.6592053774189,-158.030464812591,954145.424460877
162,12,Oahu,C,00_to_15,195,21.69,-158.02,21.6767244141255,-158.019421492841,1139422.08774097
163,12,Oahu,C,00_to_15,196,21.69,-157.98,21.6809835170942,-157.996565143842,235057.991301523
164,12,Oahu,other,00_to_15,177,21.65,-158.06,21.6541572798807,-158.049117675746,827096.944873861
165,12,Oahu,other,00_to_15,178,21.65,-158.02,21.6542427158895,-158.029340731732,420799.34766565
166,12,Oahu,other,00_to_15,179,21.65,-157.98,21.6695089285714,-157.995034722266,5501.73696125697
167,12,Oahu,other,00_to_15,194,21.69,-158.06,21.6710119047619,-158.04149515997,60629.916890822
168,12,Oahu,other,00_to_15,195,21.69,-158.02,21.6809208715813,-158.01981185611,795516.365432594
169,12,Oahu,other,00_to_15,196,21.69,-157.98,21.6818275594045,-157.995369040078,121065.535177628
170,13,Oahu,B,00_to_15,163,21.61,-157.94,21.6284895311979,-157.924285118506,43863.6943757703
171,13,Oahu,B,00_to_15,179,21.65,-157.98,21.6676500426702,-157.964910044004,106186.422060358
172,13,Oahu,B,00_to_15,180,21.65,-157.94,21.6541375093743,-157.941341438607,2661586.40457308
173,13,Oahu,B,00_to_15,196,21.69,-157.98,21.6842871127206,-157.972475971473,2608355.24004802
174,13,Oahu,B,00_to_15,197,21.69,-157.94,21.6831399708117,-157.955126166099,880292.905235382
175,13,Oahu,C,00_to_15,163,21.61,-157.94,21.6295713601532,-157.944943326999,11398.4767556392
176,13,Oahu,C,00_to_15,179,21.65,-157.98,21.6610118546327,-157.969329348867,753516.560124304
177,13,Oahu,C,00_to_15,180,21.65,-157.94,21.6534869304768,-157.944256489761,985388.923047767
178,13,Oahu,C,00_to_15,196,21.69,-157.98,21.6835892393951,-157.981009561994,801483.779357828
179,13,Oahu,C,00_to_15,197,21.69,-157.94,21.6713421338407,-157.945513819912,56611.3544283295
180,13,Oahu,other,00_to_15,163,21.61,-157.94,21.6296915379389,-157.927424689072,8877.64860195037
181,13,Oahu,other,00_to_15,179,21.65,-157.98,21.6600941901801,-157.971494857403,300141.985093904
182,13,Oahu,other,00_to_15,180,21.65,-157.94,21.6500352806204,-157.938934594883,1286650.67643703
183,13,Oahu,other,00_to_15,196,21.69,-157.98,21.6959518993502,-157.970394872697,2231284.79775243
184,13,Oahu,other,00_to_15,197,21.69,-157.94,21.6903114146247,-157.955303103361,683461.481311195
185,14,Oahu,B,00_to_15,147,21.57,-157.9,21.5798860716694,-157.890845177765,695604.22010248
186,14,Oahu,B,00_to_15,164,21.61,-157.9,21.5963006708157,-157.90067351707,544131.511906954
187,14,Oahu,C,00_to_15,147,21.57,-157.9,21.5773978049682,-157.889071738108,684761.489070639
188,14,Oahu,C,00_to_15,148,21.57,-157.86,21.5715308065074,-157.878491692687,20765.8279363009
189,14,Oahu,C,00_to_15,163,21.61,-157.94,21.6239129273504,-157.920778133957,10179.3489607132
190,14,Oahu,C,00_to_15,164,21.61,-157.9,21.59643927369,-157.900470280923,321065.252824489
191,14,Oahu,other,00_to_15,147,21.57,-157.9,21.5714235178558,-157.891238410321,216298.837227875
192,14,Oahu,other,00_to_15,148,21.57,-157.86,21.5723292923508,-157.878050093396,85856.7580070002
193,14,Oahu,other,00_to_15,163,21.61,-157.94,21.6223591753775,-157.920569912301,28233.2156066955
194,14,Oahu,other,00_to_15,164,21.61,-157.9,21.6117387589538,-157.913080942142,333356.395544205
195,15,Oahu,B,00_to_15,114,21.49,-157.86,21.5088573232323,-157.851672979862,8871.87215824114
196,15,Oahu,B,00_to_15,131,21.53,-157.86,21.5344989397302,-157.845255947397,370163.586661606
197,15,Oahu,C,00_to_15,81,21.41,-157.82,21.398287037037,-157.809398148218,98.2856531893096
198,15,Oahu,C,00_to_15,114,21.49,-157.86,21.4908311382033,-157.856339660697,1068328.04096698
199,15,Oahu,C,00_to_15,131,21.53,-157.86,21.5330425285649,-157.848685291435,282356.041473695
200,15,Oahu,C,00_to_15,132,21.53,-157.82,21.5230041260387,-157.8371775803,374204.250699678
201,15,Oahu,C,00_to_15,148,21.57,-157.86,21.5522639460448,-157.851129972629,8013.70144022727
202,15,Oahu,other,00_to_15,65,21.37,-157.78,21.3892635414647,-157.787612387766,56406.0726860694
203,15,Oahu,other,00_to_15,81,21.41,-157.82,21.410049264709,-157.814609671986,749093.283326469
204,15,Oahu,other,00_to_15,82,21.41,-157.78,21.3913621794869,-157.789391213148,97240.235306334
205,15,Oahu,other,00_to_15,97,21.45,-157.86,21.4571197089947,-157.847469932819,1581424.14257017
206,15,Oahu,other,00_to_15,98,21.45,-157.82,21.44921086431,-157.836507211038,434178.612148744
207,15,Oahu,other,00_to_15,114,21.49,-157.86,21.4895132494747,-157.852882705983,1301525.79868305
208,15,Oahu,other,00_to_15,131,21.53,-157.86,21.5300445018761,-157.849296063596,356614.378123635
209,15,Oahu,other,00_to_15,132,21.53,-157.82,21.523871999559,-157.838534585175,128257.34880513
210,15,Oahu,other,00_to_15,148,21.57,-157.86,21.5516147741148,-157.851364468929,17900.7433840237
211,16,Oahu,B,00_to_15,49,21.33,-157.74,21.3393831994902,-157.729895443806,1607140.63766303
212,16,Oahu,B,00_to_15,50,21.33,-157.7,21.3352962754939,-157.714785565625,832926.352648338
213,16,Oahu,C,00_to_15,49,21.33,-157.74,21.3415058468076,-157.737701942245,560626.2925886
214,16,Oahu,C,00_to_15,50,21.33,-157.7,21.3286912032478,-157.709381174828,354692.551724141
215,16,Oahu,C,00_to_15,65,21.37,-157.78,21.3707506552677,-157.763814420183,290427.934505519
